instrument,source_value,review,note
Grant,Grant (EU-funded),,
Grant,"Grant (GEF Project Grant; Medium-Sized Project, 1-step approval)",,
Grant,Grant (bilateral assistance under a cooperation framework),,
Grant,Grant (grant convention FI 96262),,
Grant,Grant (multilateral trust-fund allocation),,
Grant,Grant (non-reimbursable assistance),,
Grant,Grant (not explicitly stated),,
Grant,Grant + compute credits,,
Grant,Grant-funded procurement (equipment),,
Grant,"IDA development policy grant *(corrected from the source's ""Concessional loan"": programme document PGD146 records an IDA development policy grant of SDR 20.8m)*",,
Grant,IDA grant,,
Grant,IDA grant (Program-for-Results),,
Grant,"IDA grant *(corrected from the source's ""Concessional loan"": PAD4661 records an IDA grant of SDR 25.1m (US$35.0m equivalent))*",,
Grant,"IDA grant *(corrected from the source's ""Concessional loan""; PAD00070 records an SDR 69.5m IDA grant)*",,
Grant,"IDA grant *(corrected from the source's ""Concessional loan""; PAD4298 records a grant of SDR 105m, US$150m equivalent)*",,
Grant,"IDA grant + GIF *(corrected from the source's ""Concessional loan"": the September 2025 aide-memoire describes the US$21.8m as an IDA grant plus GIF)*",,
Grant,"Investment Project Financing — IDA grant, SDR 58.2m = US$80m equivalent",,
Grant,Procurement contract award,RULED,UNDP-funded supply of ICT equipment to Zimbabwe; no repayment arises. Ruled 2026-08-20.
Grant,Standard grant,,
Grant,Standard grant (IATI finance-type 110),,
Guarantee,"Catalytic First Loss Guarantee (blended finance, IDA Private Sector Window)",,
Guarantee,Financing package (EC budgetary guarantee),ADDED,
Guarantee,Guarantee,,
Guarantee,Trade finance facility (transaction guarantee),,
Joint Venture,50:50 joint venture (equity + 20-year lease),,
Line of Credit,Credit facility,,
Line of Credit,Line of credit,,
Mezzanine,Mezzanine,,
MoU,**Binding Memorandum of Agreement** (supersedes an earlier non-binding MoU),,
MoU,Bilateral cooperation agreements (incl. Indicative Cooperation Programme 2026-2031),,
MoU,Financing agreement (accord de financement),,
MoU,Financing agreements,,
MoU,Investment agreement,,
MoU,Investment agreement (convention d'investissement),,
MoU,Investment package / commitment,,
MoU,Memorandum of understanding,,
MoU,MoU (framework),,
MoU,MoU / investment,,
MoU,MoU / private investment,,
MoU,Not stated — memorandum of understanding (protocole d'accord),,
MoU,agreement (signed),,
PPP,20-year public-private partnership (exclusive e-KYC concession),,
PPP,"Concession agreement (20-year, financier-funded)",CHANGED,"a concession is not a concessional loan — false friend. AfCFTA/Bergmans, 20-year customs concession, financier-funded: the textbook PPP shape. This is the US$3.1bn row."
PPP,Public-private partnership,,
PPP,Public-private partnership (PAFEN),,
Self Funded,5G spectrum licences,RULED,"operator capital committed to 5G. The licence fee runs operator-to-state; DEAL-VOCAB.md section 4 leaves that open as a question about the register, not this instrument. Ruled 2026-08-20."
Self Funded,Capital expenditure (self-funded),,
Self Funded,Corporate capital investment,ADDED,
Self Funded,Corporate capital investment (self-funded),ADDED,
Self Funded,Corporate investment,ADDED,
Self Funded,Investment under NTRA data-centre licence,RULED,"Hassan Allam capitalising its own licensed build; the licence is the permission, not the instrument. Ruled 2026-08-20."
Self Funded,Mixed,RULED,Google and Visa corporate envelopes; the quantified sub-components are held as their own records with their own instruments. Ruled 2026-08-20.
Self Funded,Private investment (capex),ADDED,
Self Funded,Spectrum award (410 MHz),RULED,as 5G spectrum licences. Ruled 2026-08-20.
Technical Assistance,TA,,
Technical Assistance,Technical assistance / advisory,,
Unknown,(not stated — student aid/stipend programme),,
Unknown,(not stated),,
Unknown,"*(not stated — described only as ""financement"")*",,
Unknown,"Not stated (Expertise France technical-cooperation project; presumed grant-funded, not confirmed by the source)",,
