currency,year,per_usd,source
SSP,2025,3800,HIGHLY UNCERTAIN — refine before use
SSP,2026,4500,HIGHLY UNCERTAIN — refine before use
NAD,2024,18.34,pegged 1:1 to ZAR
NAD,2025,17.88,pegged 1:1 to ZAR
NAD,2026,18.00,pegged 1:1 to ZAR (provisional)
LSL,2024,18.34,pegged 1:1 to ZAR
LSL,2025,17.88,pegged 1:1 to ZAR
LSL,2026,18.00,pegged 1:1 to ZAR (provisional)
SZL,2024,18.34,pegged 1:1 to ZAR
SZL,2025,17.88,pegged 1:1 to ZAR
SZL,2026,18.00,pegged 1:1 to ZAR (provisional)
DJF,2024,177.72,pegged to USD (fixed)
DJF,2025,177.72,pegged to USD (fixed)
DJF,2026,177.72,pegged to USD (fixed)
ERN,2024,15.08,pegged to USD (fixed)
ERN,2025,15.08,pegged to USD (fixed)
ERN,2026,15.08,pegged to USD (fixed)
CVE,2024,101.9,euro-peg 110.265/EUR at ~1.082 USD/EUR
CVE,2025,100.0,approx (ball-park)
CVE,2026,101.0,provisional (ball-park)
KMF,2024,454.7,euro-peg 491.968/EUR at ~1.082 USD/EUR
KMF,2025,447.0,approx (ball-park)
KMF,2026,450.0,provisional (ball-park)
STN,2024,22.60,euro-peg 24.5/EUR at ~1.082 USD/EUR
STN,2025,22.30,approx (ball-park)
STN,2026,22.40,provisional (ball-park)
EUR,2015,0.9013,IMF/WB annual average
EUR,2016,0.9034,IMF/WB annual average
EUR,2017,0.8852,IMF/WB annual average
EUR,2018,0.8468,IMF/WB annual average
EUR,2019,0.8933,IMF/WB annual average
EUR,2020,0.8755,IMF/WB annual average
EUR,2021,0.8455,IMF/WB annual average
EUR,2022,0.9496,IMF/WB annual average
EUR,2023,0.9248,IMF/WB annual average
EUR,2024,0.9239,IMF/WB annual average
EUR,2025,0.885,IMF/WB annual average
EUR,2026,0.8602,provisional - IMF daily average to 2026-08-04 (no final annual average yet)
GBP,2015,0.6545,IMF/WB annual average
GBP,2016,0.7406,IMF/WB annual average
GBP,2017,0.777,IMF/WB annual average
GBP,2018,0.7495,IMF/WB annual average
GBP,2019,0.7834,IMF/WB annual average
GBP,2020,0.78,IMF/WB annual average
GBP,2021,0.7271,IMF/WB annual average
GBP,2022,0.8113,IMF/WB annual average
GBP,2023,0.8045,IMF/WB annual average
GBP,2024,0.7824,IMF/WB annual average
GBP,2025,0.7595,IMF/WB annual average
GBP,2026,0.7441,provisional - IMF daily average to 2026-08-04 (no final annual average yet)
SEK,2015,8.4348,IMF/WB annual average
SEK,2016,8.562,IMF/WB annual average
SEK,2017,8.5489,IMF/WB annual average
SEK,2018,8.6925,IMF/WB annual average
SEK,2019,9.4583,IMF/WB annual average
SEK,2020,9.2103,IMF/WB annual average
SEK,2021,8.5766,IMF/WB annual average
SEK,2022,10.1143,IMF/WB annual average
SEK,2023,10.6102,IMF/WB annual average
SEK,2024,10.5676,IMF/WB annual average
SEK,2025,9.8207,IMF/WB annual average
SEK,2026,9.324,provisional - IMF daily average to 2026-08-04 (no final annual average yet)
NOK,2015,8.0642,IMF/WB annual average
NOK,2016,8.4,IMF/WB annual average
NOK,2017,8.2717,IMF/WB annual average
NOK,2018,8.1325,IMF/WB annual average
NOK,2019,8.8,IMF/WB annual average
NOK,2020,9.4158,IMF/WB annual average
NOK,2021,8.59,IMF/WB annual average
NOK,2022,9.6142,IMF/WB annual average
NOK,2023,10.5633,IMF/WB annual average
NOK,2024,10.7458,IMF/WB annual average
NOK,2025,10.3958,IMF/WB annual average
NOK,2026,9.6014,provisional - IMF daily average to 2026-08-04 (no final annual average yet)
DKK,2015,6.7279,IMF/WB annual average
DKK,2016,6.7317,IMF/WB annual average
DKK,2017,6.6029,IMF/WB annual average
DKK,2018,6.3146,IMF/WB annual average
DKK,2019,6.6694,IMF/WB annual average
DKK,2020,6.5422,IMF/WB annual average
DKK,2021,6.2871,IMF/WB annual average
DKK,2022,7.0762,IMF/WB annual average
DKK,2023,6.8897,IMF/WB annual average
DKK,2024,6.8945,IMF/WB annual average
DKK,2025,6.6218,IMF/WB annual average
DKK,2026,6.4303,provisional - IMF daily average to 2026-08-04 (no final annual average yet)
CAD,2015,1.2788,IMF/WB annual average
CAD,2016,1.3256,IMF/WB annual average
CAD,2017,1.2979,IMF/WB annual average
CAD,2018,1.2958,IMF/WB annual average
CAD,2019,1.3268,IMF/WB annual average
CAD,2020,1.3412,IMF/WB annual average
CAD,2021,1.2539,IMF/WB annual average
CAD,2022,1.3016,IMF/WB annual average
CAD,2023,1.3499,IMF/WB annual average
CAD,2024,1.3694,IMF/WB annual average
CAD,2025,1.3981,IMF/WB annual average
CAD,2026,1.3816,provisional - IMF daily average to 2026-08-04 (no final annual average yet)
JPY,2015,121.044,IMF/WB annual average
JPY,2016,108.7929,IMF/WB annual average
JPY,2017,112.1661,IMF/WB annual average
JPY,2018,110.4232,IMF/WB annual average
JPY,2019,109.0097,IMF/WB annual average
JPY,2020,106.7746,IMF/WB annual average
JPY,2021,109.7543,IMF/WB annual average
JPY,2022,131.4981,IMF/WB annual average
JPY,2023,140.4911,IMF/WB annual average
JPY,2024,151.3663,IMF/WB annual average
JPY,2025,149.6579,IMF/WB annual average
JPY,2026,158.9083,provisional - IMF daily average to 2026-08-04 (no final annual average yet)
XDR,2014,0.6581,IMF SDR valuation - annual average of daily rates
XDR,2015,0.7149,IMF SDR valuation - annual average of daily rates
XDR,2016,0.7193,IMF SDR valuation - annual average of daily rates
XDR,2017,0.7213,IMF SDR valuation - annual average of daily rates
XDR,2018,0.7063,IMF SDR valuation - annual average of daily rates
XDR,2019,0.7238,IMF SDR valuation - annual average of daily rates
XDR,2020,0.7185,IMF SDR valuation - annual average of daily rates
XDR,2021,0.7019,IMF SDR valuation - annual average of daily rates
XDR,2022,0.7478,IMF SDR valuation - annual average of daily rates
XDR,2023,0.7497,IMF SDR valuation - annual average of daily rates
XDR,2024,0.7531,IMF SDR valuation - annual average of daily rates
XDR,2025,0.7408,IMF SDR valuation - annual average of daily rates
XDR,2026,0.7317,provisional - IMF SDR valuation daily average to 2026-08-04 (no final annual average yet)
