deal_id,file,country,state_level,fy,stage,version,origin,funding_source,scope_confidence,is_transfer,amount_total,currency,doc_locator,matched_to,warnings
zmb-2026-govt-digital-infra-qos-unclear,2026-01-01-zmb-2026-govt-digital-infra-qos-unclear-k255m-qos-upgrade.md,ZMB,national,2026,unclear,original,domestic-state,unstated,whole,false,255000000,ZMW,,,"funding unstated; stage 'approved' unmapped; FY inferred (Zambia FY=calendar); minted gov-zm"
egy-cbe-2020-pos-incentives-fawry-actual,2020-01-01-egy-cbe-2020-pos-incentives-fawry-actual-cbe-pos-incentives.md,EGY,regulator,2020,actual,original,domestic-state,own-source,whole,false,55000000,EGP,,,"disbursement seen from recipient side (Fawry filings); judgment call flagged"
egy-cbe-2021-pos-incentives-fawry-actual,2021-01-01-egy-cbe-2021-pos-incentives-fawry-actual-cbe-pos-incentives.md,EGY,regulator,2021,actual,original,domestic-state,own-source,whole,false,21700000,EGP,,,"series sibling of 2020 record"
ago-2026-ima-infra-estruturas-digitais-publicas-appropriated,2026-06-17-ago-2026-ima-infra-estruturas-digitais-publicas-appropriated-digitais-publicas.md,AGO,national,2026,appropriated,original,domestic-state,unstated,whole,false,150000000,USD,,,"USD as announced; OGE 2026 PIP / Despacho Presidencial 38/26; vendor tis-angola; minted ministerio-das-financas-angola"
ago-2026-agt-fatca-software-unclear,2026-06-08-ago-2026-agt-fatca-software-unclear-fatca-software-licence.md,AGO,national,2026,unclear,original,domestic-state,unstated,whole,false,552000,EUR,,,"minted presidencia-da-republica-angola; despacho date unstated — reporting event used; EUR as announced"
ago-2026-mindcom-requalificacao-rede-informatica-unclear,2026-02-17-ago-2026-mindcom-requalificacao-rede-informatica-unclear-76bn-kz.md,AGO,national,2026,unclear,original,domestic-state,unstated,whole,false,76000000000,AOA,,,"despacho date unstated; source USD ~80m covers only 74.3bn component"
ago-2026-mat-bdcm-prova-de-vida-revised,2026-02-26-ago-2026-mat-bdcm-prova-de-vida-revised-275m-usd.md,AGO,national,2026,revised,supplementary-1,domestic-state,unstated,whole,false,275000000,USD,,,"supplementary OGE credit stated in USD; ordinal not stated — recorded as first known"
zaf-2025-26-dcdt-sa-connect-phase-2-unclear,2026-02-25-zaf-2025-26-dcdt-sa-connect-phase-2-unclear-r3bn.md,ZAF,national,2025/26,unclear,original,domestic-state,unstated,whole,false,3000000000,ZAR,,,"'more than R3bn' floor; FY attribution ambiguous vs Budget-2026 speech timing"
ben-2026-numerique-digitalisation-programme-numerique-proposed,2025-11-25-ben-2026-programme-numerique-proposed-digital-programme-line.md,BEN,national,2026,proposed,original,domestic-state,unstated,whole,false,12300000000,XOF,,,"RETIRED 2026-07-25 - driver case 5: replaced by ben-2026-numerique-111-proposed, built from the budget document; reporting kept as a Development history line there"
bwa-ndp12-finance-ministry-ict-development-proposed,2025-10-31-bwa-ndp12-finance-ministry-ict-development-proposed-pip-ict-line.md,BWA,national,NDP 12,proposed,original,domestic-state,unstated,whole,false,486000000,BWP,,,"NDP12 multi-year — fy dates blank; named systems (payment switch, accounting system)"
bwa-ndp12-burs-modernisation-proposed,2025-10-31-bwa-ndp12-burs-modernisation-proposed-pip-burs-line.md,BWA,national,NDP 12,proposed,original,domestic-state,unstated,partial,false,4130000000,BWP,,,"line includes physical border works; P8.83bn PIP envelope not built (mostly non-digital)"
cog-2025-connectivity-sites-4g-upgrade-unclear,2025-10-01-cog-2025-connectivity-sites-4g-upgrade-unclear-4g-modernisation.md,COG,national,,unclear,original,domestic-state,unstated,whole,false,3000000,USD,,,"USD-only figure; government top-up 'additional to' WB/EU envelope; published=statement month (month precision); 2 corroborating held sources"
civ-2024-2025-ncr-rural-connectivity-unclear,2024-01-01-civ-2024-2025-ncr-rural-connectivity-unclear-rural-connectivity-allocation.md,CIV,national,2024-2025,unclear,original,domestic-state,unstated,whole,false,28000000000,XOF,,,"stated floor ('more than 28bn'); two-year window; forum-presented; 2026-2027 forward 33bn not built (outer-year rule)"
zaf-2024-25-vote-30-sa-connect-proposed,2024-07-15-zaf-2024-25-vote-30-sa-connect-proposed-r1858m.md,ZAF,national,2024/25,proposed,original,domestic-state,unstated,whole,false,1858000000,ZAR,,,"capture from Malatsi budget-vote speech; case-5 reset pending against held ENE/AENE/AR in new-budget/ZAF/; series sibling of zaf-2025-26-dcdt-sa-connect-phase-2"
zaf-2024-25-vote-30-sa-connect-appropriated,2024-02-21-zaf-2024-25-vote-30-sa-connect-appropriated.md,ZAF,national,2024/25,appropriated,original,domestic-state,unstated,whole,false,1894593000,ZAR,"ENE 2024 Vote 30; B5-2024",,"budget-extract ZAF/2024"
zaf-2024-vote-30-p2-international-appropriated,2024-02-21-zaf-2024-vote-30-p2-international-appropriated.md,ZAF,national,2024/25,appropriated,original,domestic-state,unstated,whole,false,76677000,ZAR,"ENE 2024 Vote 30; B5-2024",,"budget-extract ZAF/2024"
zaf-2024-vote-30-p3-policy-research-appropriated,2024-02-21-zaf-2024-vote-30-p3-policy-research-appropriated.md,ZAF,national,2024/25,appropriated,original,domestic-state,unstated,whole,false,43142000,ZAR,"ENE 2024 Vote 30; B5-2024",,"budget-extract ZAF/2024"
zaf-2024-vote-30-p4-entity-oversight-appropriated,2024-02-21-zaf-2024-vote-30-p4-entity-oversight-appropriated.md,ZAF,national,2024/25,appropriated,original,domestic-state,unstated,partial,false,1596919000,ZAR,"ENE 2024 Vote 30; B5-2024",,"budget-extract ZAF/2024"
zaf-2024-vote-30-p5-bdm-appropriated,2024-02-21-zaf-2024-vote-30-p5-bdm-appropriated.md,ZAF,national,2024/25,appropriated,original,domestic-state,unstated,whole,false,15859000,ZAR,"ENE 2024 Vote 30; B5-2024",,"budget-extract ZAF/2024"
zaf-2024-vote-30-p5-ict-support-appropriated,2024-02-21-zaf-2024-vote-30-p5-ict-support-appropriated.md,ZAF,national,2024/25,appropriated,original,domestic-state,unstated,whole,false,8953000,ZAR,"ENE 2024 Vote 30; B5-2024",,"budget-extract ZAF/2024"
zaf-2024-vote-30-p6-information-society-appropriated,2024-02-21-zaf-2024-vote-30-p6-information-society-appropriated.md,ZAF,national,2024/25,appropriated,original,domestic-state,unstated,whole,false,72196000,ZAR,"ENE 2024 Vote 30; B5-2024",,"budget-extract ZAF/2024"
zaf-2024-25-vote-30-sa-connect-audited,2025-10-01-zaf-2024-25-vote-30-sa-connect-audited.md,ZAF,national,2024/25,audited,original,domestic-state,unstated,whole,false,734841000,ZAR,"DCDT AR 2024/25 pp.205-212",,"budget-extract ZAF/2024"
zaf-2024-vote-30-p2-international-audited,2025-10-01-zaf-2024-vote-30-p2-international-audited.md,ZAF,national,2024/25,audited,original,domestic-state,unstated,whole,false,65860000,ZAR,"DCDT AR 2024/25 pp.205-212",,"budget-extract ZAF/2024"
zaf-2024-vote-30-p3-policy-research-audited,2025-10-01-zaf-2024-vote-30-p3-policy-research-audited.md,ZAF,national,2024/25,audited,original,domestic-state,unstated,whole,false,27831000,ZAR,"DCDT AR 2024/25 pp.205-212",,"budget-extract ZAF/2024"
zaf-2024-vote-30-p4-entity-oversight-audited,2025-10-01-zaf-2024-vote-30-p4-entity-oversight-audited.md,ZAF,national,2024/25,audited,original,domestic-state,unstated,partial,false,1741447000,ZAR,"DCDT AR 2024/25 pp.205-212",,"budget-extract ZAF/2024"
zaf-2024-vote-30-p5-bdm-audited,2025-10-01-zaf-2024-vote-30-p5-bdm-audited.md,ZAF,national,2024/25,audited,original,domestic-state,unstated,whole,false,10820000,ZAR,"DCDT AR 2024/25 pp.205-212",,"budget-extract ZAF/2024"
zaf-2024-vote-30-p5-ict-support-audited,2025-10-01-zaf-2024-vote-30-p5-ict-support-audited.md,ZAF,national,2024/25,audited,original,domestic-state,unstated,whole,false,6150000,ZAR,"DCDT AR 2024/25 pp.205-212",,"budget-extract ZAF/2024"
zaf-2024-vote-30-p6-information-society-audited,2025-10-01-zaf-2024-vote-30-p6-information-society-audited.md,ZAF,national,2024/25,audited,original,domestic-state,unstated,whole,false,62548000,ZAR,"DCDT AR 2024/25 pp.205-212",,"budget-extract ZAF/2024"
zaf-2024-vote-25-justice-modernisation-appropriated,2024-02-21-zaf-2024-vote-25-justice-modernisation-appropriated.md,ZAF,national,2024/25,appropriated,original,domestic-state,unstated,whole,false,661200000,ZAR,"ENE 2024 full volume",,"budget-extract cross-vote scan ZAF/2024"
zaf-2024-vote-25-information-regulator-appropriated,2024-02-21-zaf-2024-vote-25-information-regulator-appropriated.md,ZAF,national,2024/25,appropriated,original,domestic-state,unstated,whole,false,110900000,ZAR,"ENE 2024 full volume",,"budget-extract cross-vote scan ZAF/2024"
zaf-2024-vote-22-correctional-it-appropriated,2024-02-21-zaf-2024-vote-22-correctional-it-appropriated.md,ZAF,national,2024/25,appropriated,original,domestic-state,unstated,whole,false,358000000,ZAR,"ENE 2024 full volume",,"budget-extract cross-vote scan ZAF/2024"
zaf-2024-vote-14-statssa-business-modernisation-appropriated,2024-02-21-zaf-2024-vote-14-statssa-business-modernisation-appropriated.md,ZAF,national,2024/25,appropriated,original,domestic-state,unstated,whole,false,60200000,ZAR,"ENE 2024 full volume",,"budget-extract cross-vote scan ZAF/2024"
zaf-2024-vote-14-statssa-ict-appropriated,2024-02-21-zaf-2024-vote-14-statssa-ict-appropriated.md,ZAF,national,2024/25,appropriated,original,domestic-state,unstated,whole,false,143000000,ZAR,"ENE 2024 full volume",,"budget-extract cross-vote scan ZAF/2024"
zaf-2024-vote-11-dpsa-egovernment-appropriated,2024-02-21-zaf-2024-vote-11-dpsa-egovernment-appropriated.md,ZAF,national,2024/25,appropriated,original,domestic-state,unstated,whole,false,25300000,ZAR,"ENE 2024 full volume",,"budget-extract cross-vote scan ZAF/2024"
zaf-2024-vote-39-dtic-digital-market-inquiry-appropriated,2024-02-21-zaf-2024-vote-39-dtic-digital-market-inquiry-appropriated.md,ZAF,national,2024/25,appropriated,original,domestic-state,unstated,whole,false,20100000,ZAR,"ENE 2024 full volume",,"budget-extract cross-vote scan ZAF/2024"
zaf-2024-vote-5-dha-transversal-it-appropriated,2024-02-21-zaf-2024-vote-5-dha-transversal-it-appropriated.md,ZAF,national,2024/25,appropriated,original,domestic-state,unstated,whole,false,1190100000,ZAR,"ENE 2024 full volume",,"budget-extract cross-vote scan ZAF/2024"
zaf-2024-vote-5-dha-identification-services-appropriated,2024-02-21-zaf-2024-vote-5-dha-identification-services-appropriated.md,ZAF,national,2024/25,appropriated,original,domestic-state,unstated,whole,false,184700000,ZAR,"ENE 2024 full volume",,"budget-extract cross-vote scan ZAF/2024"
zaf-2024-vote-5-dha-pnr-appropriated,2024-02-21-zaf-2024-vote-5-dha-pnr-appropriated.md,ZAF,national,2024/25,appropriated,original,domestic-state,unstated,whole,false,208000000,ZAR,"ENE 2024 full volume",,"budget-extract cross-vote scan ZAF/2024"
zaf-2024-vote-35-science-ict-transfers-appropriated,2024-02-21-zaf-2024-vote-35-science-ict-transfers-appropriated.md,ZAF,national,2024/25,appropriated,original,domestic-state,unstated,whole,false,22529000,ZAR,"B5-2024 Vote 35 schedule",,"budget re-extract 2026-07-22 — resolves first-run extraction failure"
zaf-2024-vote-5-dha-transversal-it-revised,2024-10-30-zaf-2024-vote-5-dha-transversal-it-revised.md,ZAF,national,2024/25,revised,revised,domestic-state,unstated,whole,false,1110636000,ZAR,"AENE 2024 full volume Vote 5",,"update-wiki extract 2026-07-22 — resolves B14 open question"
zaf-2025-vote-30-sa-connect-appropriated,2025-05-21-zaf-2025-vote-30-sa-connect-appropriated.md,ZAF,national,2025/26,appropriated,original,domestic-state,unstated,whole,false,267131000,ZAR,"ZAF/2025 corpus",,"budget-extract ZAF/2025"
zaf-2025-vote-30-p2-international-appropriated,2025-05-21-zaf-2025-vote-30-p2-international-appropriated.md,ZAF,national,2025/26,appropriated,original,domestic-state,unstated,whole,false,90000000,ZAR,"ZAF/2025 corpus",,"budget-extract ZAF/2025"
zaf-2025-vote-30-p3-policy-research-appropriated,2025-05-21-zaf-2025-vote-30-p3-policy-research-appropriated.md,ZAF,national,2025/26,appropriated,original,domestic-state,unstated,whole,false,41400000,ZAR,"ZAF/2025 corpus",,"budget-extract ZAF/2025"
zaf-2025-vote-30-p4-entity-oversight-appropriated,2025-05-21-zaf-2025-vote-30-p4-entity-oversight-appropriated.md,ZAF,national,2025/26,appropriated,original,domestic-state,unstated,partial,false,1769211000,ZAR,"ZAF/2025 corpus",,"budget-extract ZAF/2025"
zaf-2025-vote-30-p5-bdm-appropriated,2025-05-21-zaf-2025-vote-30-p5-bdm-appropriated.md,ZAF,national,2025/26,appropriated,original,domestic-state,unstated,whole,false,13986000,ZAR,"ZAF/2025 corpus",,"budget-extract ZAF/2025"
zaf-2025-vote-30-p5-ict-support-appropriated,2025-05-21-zaf-2025-vote-30-p5-ict-support-appropriated.md,ZAF,national,2025/26,appropriated,original,domestic-state,unstated,whole,false,9823000,ZAR,"ZAF/2025 corpus",,"budget-extract ZAF/2025"
zaf-2025-vote-30-p6-information-society-appropriated,2025-05-21-zaf-2025-vote-30-p6-information-society-appropriated.md,ZAF,national,2025/26,appropriated,original,domestic-state,unstated,whole,false,73100000,ZAR,"ZAF/2025 corpus",,"budget-extract ZAF/2025"
zaf-2025-vote-30-sa-connect-revised,2025-11-01-zaf-2025-vote-30-sa-connect-revised.md,ZAF,national,2025/26,revised,revised,domestic-state,unstated,whole,false,1250986000,ZAR,"ZAF/2025 corpus",,"budget-extract ZAF/2025"
zaf-2025-vote-5-dha-transversal-it-appropriated,2025-05-21-zaf-2025-vote-5-dha-transversal-it-appropriated.md,ZAF,national,2025/26,appropriated,original,domestic-state,unstated,whole,false,1146600000,ZAR,"ZAF/2025 corpus",,"budget-extract ZAF/2025"
zaf-2025-vote-5-dha-identification-services-appropriated,2025-05-21-zaf-2025-vote-5-dha-identification-services-appropriated.md,ZAF,national,2025/26,appropriated,original,domestic-state,unstated,whole,false,175800000,ZAR,"ZAF/2025 corpus",,"budget-extract ZAF/2025"
zaf-2025-vote-25-justice-modernisation-appropriated,2025-05-21-zaf-2025-vote-25-justice-modernisation-appropriated.md,ZAF,national,2025/26,appropriated,original,domestic-state,unstated,whole,false,695300000,ZAR,"ZAF/2025 corpus",,"budget-extract ZAF/2025"
zaf-2025-vote-25-information-regulator-appropriated,2025-05-21-zaf-2025-vote-25-information-regulator-appropriated.md,ZAF,national,2025/26,appropriated,original,domestic-state,unstated,whole,false,135700000,ZAR,"ZAF/2025 corpus",,"budget-extract ZAF/2025"
zaf-2025-vote-22-correctional-it-appropriated,2025-05-21-zaf-2025-vote-22-correctional-it-appropriated.md,ZAF,national,2025/26,appropriated,original,domestic-state,unstated,whole,false,377400000,ZAR,"ZAF/2025 corpus",,"budget-extract ZAF/2025"
zaf-2025-vote-14-statssa-business-modernisation-appropriated,2025-05-21-zaf-2025-vote-14-statssa-business-modernisation-appropriated.md,ZAF,national,2025/26,appropriated,original,domestic-state,unstated,whole,false,63300000,ZAR,"ZAF/2025 corpus",,"budget-extract ZAF/2025"
zaf-2025-vote-14-statssa-ict-appropriated,2025-05-21-zaf-2025-vote-14-statssa-ict-appropriated.md,ZAF,national,2025/26,appropriated,original,domestic-state,unstated,whole,false,149400000,ZAR,"ZAF/2025 corpus",,"budget-extract ZAF/2025"
zaf-2025-vote-39-dtic-digital-market-inquiry-appropriated,2025-05-21-zaf-2025-vote-39-dtic-digital-market-inquiry-appropriated.md,ZAF,national,2025/26,appropriated,original,domestic-state,unstated,whole,false,20600000,ZAR,"ZAF/2025 corpus",,"budget-extract ZAF/2025"
zaf-2025-vote-11-dpsa-egovernment-appropriated,2025-05-21-zaf-2025-vote-11-dpsa-egovernment-appropriated.md,ZAF,national,2025/26,appropriated,original,domestic-state,unstated,whole,false,23900000,ZAR,"ZAF/2025 corpus",,"budget-extract ZAF/2025"
zaf-2026-vote-30-sa-connect-appropriated,2026-02-25-zaf-2026-vote-30-sa-connect-appropriated.md,ZAF,national,2026/27,appropriated,original,domestic-state,unstated,whole,false,285100000,ZAR,"ZAF/2026 corpus",,"budget-extract ZAF/2026"
zaf-2026-vote-30-p2-ict-transformation-appropriated,2026-02-25-zaf-2026-vote-30-p2-ict-transformation-appropriated.md,ZAF,national,2026/27,appropriated,original,domestic-state,unstated,whole,false,108700000,ZAR,"ZAF/2026 corpus",,"budget-extract ZAF/2026"
zaf-2026-vote-30-media-content-appropriated,2026-02-25-zaf-2026-vote-30-media-content-appropriated.md,ZAF,national,2026/27,appropriated,original,domestic-state,unstated,partial,false,396900000,ZAR,"ZAF/2026 corpus",,"budget-extract ZAF/2026"
zaf-2026-vote-30-digital-comm-access-appropriated,2026-02-25-zaf-2026-vote-30-digital-comm-access-appropriated.md,ZAF,national,2026/27,appropriated,original,domestic-state,unstated,partial,false,1297300000,ZAR,"ZAF/2026 corpus",,"budget-extract ZAF/2026"
zaf-2026-vote-30-p5-broadcasting-tech-appropriated,2026-02-25-zaf-2026-vote-30-p5-broadcasting-tech-appropriated.md,ZAF,national,2026/27,appropriated,original,domestic-state,unstated,whole,false,9900000,ZAR,"ZAF/2026 corpus",,"budget-extract ZAF/2026"
zaf-2026-vote-30-digital-society-economy-appropriated,2026-02-25-zaf-2026-vote-30-digital-society-economy-appropriated.md,ZAF,national,2026/27,appropriated,original,domestic-state,unstated,whole,false,166900000,ZAR,"ZAF/2026 corpus",,"budget-extract ZAF/2026"
zaf-2026-vote-25-justice-modernisation-appropriated,2026-02-25-zaf-2026-vote-25-justice-modernisation-appropriated.md,ZAF,national,2026/27,appropriated,original,domestic-state,unstated,whole,false,727900000,ZAR,"ZAF/2026 corpus",,"budget-extract ZAF/2026"
zaf-2026-vote-25-information-regulator-appropriated,2026-02-25-zaf-2026-vote-25-information-regulator-appropriated.md,ZAF,national,2026/27,appropriated,original,domestic-state,unstated,whole,false,145915000,ZAR,"ZAF/2026 corpus",,"budget-extract ZAF/2026"
zaf-2026-vote-5-dha-transversal-it-appropriated,2026-02-25-zaf-2026-vote-5-dha-transversal-it-appropriated.md,ZAF,national,2026/27,appropriated,original,domestic-state,unstated,whole,false,1166900000,ZAR,"ZAF/2026 corpus",,"budget-extract ZAF/2026"
zaf-2026-vote-5-dha-identification-services-appropriated,2026-02-25-zaf-2026-vote-5-dha-identification-services-appropriated.md,ZAF,national,2026/27,appropriated,original,domestic-state,unstated,whole,false,181900000,ZAR,"ZAF/2026 corpus",,"budget-extract ZAF/2026"
zaf-2026-vote-14-statssa-business-modernisation-appropriated,2026-02-25-zaf-2026-vote-14-statssa-business-modernisation-appropriated.md,ZAF,national,2026/27,appropriated,original,domestic-state,unstated,whole,false,59200000,ZAR,"ZAF/2026 corpus",,"budget-extract ZAF/2026"
zaf-2026-vote-39-dtic-digital-market-inquiry-appropriated,2026-02-25-zaf-2026-vote-39-dtic-digital-market-inquiry-appropriated.md,ZAF,national,2026/27,appropriated,original,domestic-state,unstated,whole,false,33800000,ZAR,"ZAF/2026 corpus",,"budget-extract ZAF/2026"
zaf-2026-vote-11-dpsa-egovernment-appropriated,2026-02-25-zaf-2026-vote-11-dpsa-egovernment-appropriated.md,ZAF,national,2026/27,appropriated,original,domestic-state,unstated,whole,false,28600000,ZAR,"ZAF/2026 corpus",,"budget-extract ZAF/2026"
ken-2024-25-vote1122-ict-connectivity-appropriated,raw/2024-06-01-ken-2024-25-vote1122-ict-infrastructure-connectivity-appropriated.md,KEN,national,2024/25,appropriated,original,domestic-state,national-fisc,whole,false,9564900000,KES,"PBB FY2024/25 Part F p.533",,
ken-2024-25-vote1122-ict-connectivity-actual,raw/2025-08-01-ken-2024-25-vote1122-ict-infrastructure-connectivity-actual.md,KEN,national,2024/25,actual,final-revised-comparator,domestic-state,national-fisc,whole,false,6182420000,KES,"NG-BIRR FY2024/25 Table 4.46",,
ken-2024-25-vote1122-ict-bpo-appropriated,raw/2024-06-01-ken-2024-25-vote1122-ict-bpo-development-appropriated.md,KEN,national,2024/25,appropriated,original,domestic-state,national-fisc,whole,false,7823545150,KES,"PBB FY2024/25 Part F p.533",,
ken-2024-25-vote1122-egovernment-appropriated,raw/2024-06-01-ken-2024-25-vote1122-egovernment-services-appropriated.md,KEN,national,2024/25,appropriated,original,domestic-state,national-fisc,whole,false,4687513408,KES,"PBB FY2024/25 Part F p.533",,
ken-2024-25-vote1122-egovernment-actual,raw/2025-08-01-ken-2024-25-vote1122-egovernment-services-actual.md,KEN,national,2024/25,actual,final-revised-comparator,domestic-state,national-fisc,whole,false,2408260000,KES,"NG-BIRR FY2024/25 Table 4.46","","COB 105% irregular-reallocation flag"
ken-2024-25-immigration-population-management-appropriated,raw/2024-06-01-ken-2024-25-immigration-population-management-appropriated.md,KEN,national,2024/25,appropriated,original,domestic-state,national-fisc,whole,false,6836307352,KES,"PBB FY2024/25 Part F p.99",ken-2024-25-immigration-population-management-unclear,"case-5 reset of news-built record"
ken-2024-25-immigration-migration-citizen-services-appropriated,raw/2024-06-01-ken-2024-25-immigration-migration-citizen-services-appropriated.md,KEN,national,2024/25,appropriated,original,domestic-state,national-fisc,whole,false,6969014189,KES,"PBB FY2024/25 Part F p.99",ken-2024-25-immigration-migration-citizen-services-unclear,"case-5 reset of news-built record"
ken-2024-25-vote1024-ecitizen-services-revised,raw/2025-06-01-ken-2024-25-vote1024-ecitizen-services-revised.md,KEN,national,2024/25,revised,supplementary-iii,domestic-state,national-fisc,whole,false,2607650722,KES,"Supp III PBB Vote 1024 Part F p.65","","Supp II quadrupled the line; 3458/11000 services onboarded"
ken-2024-25-vote1071-egp-eprocurement-revised,raw/2024-08-01-ken-2024-25-vote1071-egp-eprocurement-revised.md,KEN,national,2024/25,revised,supplementary-i,domestic-state,national-fisc,whole,false,2270000000,KES,"Dev Supp I Vol I Form 2B p.439",,"cross-vote catch (Treasury vote)"
ken-2024-25-vote1071-kra-erp-crm-zeroed,raw/2024-08-01-ken-2024-25-vote1071-kra-erp-crm-zeroed.md,KEN,national,2024/25,revised,supplementary-i,domestic-state,national-fisc,whole,false,0,KES,"Dev Supp I Vol I Form 2B p.437",,"3.44bn line zeroed post-withdrawal"
ken-2025-26-vote1122-appropriated,raw/2025-06-01-ken-2025-26-vote1122-appropriated.md,KEN,national,2025/26,appropriated,original,domestic-state,national-fisc,whole,false,16188789796,KES,PBB FY2025/26 Vote 1122 Part F,,
ken-2025-26-vote1122-revised-supp-i,raw/2026-04-01-ken-2025-26-vote1122-revised-supp-i.md,KEN,national,2025/26,revised,supplementary-i,domestic-state,national-fisc,whole,false,12215127932,KES,Supp I PBB Vote 1122 Part F,,Supp II position unresolved
ken-2025-26-vote1024-ecitizen-appropriated,raw/2025-06-01-ken-2025-26-vote1024-ecitizen-appropriated.md,KEN,national,2025/26,appropriated,original,domestic-state,national-fisc,whole,false,3897457065,KES,PBB FY2025/26 Vote 1024 Part F,,
ken-2025-26-vote1024-identity-lines-revised-supp-i,raw/2026-04-01-ken-2025-26-vote1024-identity-lines-revised-supp-i.md,KEN,national,2025/26,revised,supplementary-i,domestic-state,national-fisc,whole,false,8668760147,KES,Supp I PBB Vote 1024 Part F,,NRB line; companions in body
ken-2025-26-vote1024-population-management-appropriated,raw/2025-06-01-ken-2025-26-vote1024-population-management-appropriated.md,KEN,national,2025/26,appropriated,original,domestic-state,national-fisc,whole,false,8085560928,KES,PBB FY2025/26 Vote 1024 Part F,,
ken-2026-27-vote1122-appropriated,raw/2026-06-01-ken-2026-27-vote1122-appropriated.md,KEN,national,2026/27,appropriated,original,domestic-state,national-fisc,whole,false,12763784217,KES,PBB FY2026/27 Vote 1122 Part F,,vote restructured; KDEAP 4.3bn external at origin gate
ken-2026-27-vote1122-data-protection-services-appropriated,raw/2026-06-01-ken-2026-27-vote1122-data-protection-services-appropriated.md,KEN,national,2026/27,appropriated,original,domestic-state,national-fisc,whole,false,917270000,KES,PBB FY2026/27 Vote 1122 Part F,,first visible data-protection line
ken-2026-27-vote1024-ecitizen-appropriated,raw/2026-06-01-ken-2026-27-vote1024-ecitizen-appropriated.md,KEN,national,2026/27,appropriated,original,domestic-state,national-fisc,whole,false,3612630188,KES,PBB FY2026/27 Vote 1024 Part F,,first decline
ken-2026-27-vote1024-population-management-appropriated,raw/2026-06-01-ken-2026-27-vote1024-population-management-appropriated.md,KEN,national,2026/27,appropriated,original,domestic-state,national-fisc,whole,false,10992970698,KES,PBB FY2026/27 Vote 1024 Part F,,
